------------------------------------------------------------------------------------------------------------------------------
           Observed  |             Ritz    |     Aki    | Acc. |                  Ei           Ek                  | Configurations  |    Terms   |Type|
          Wavelength |          Wavelength |     s^-1   |      |                 (eV)         (eV)                 |                 |            |    |
           Vac  (Å)  |           Vac  (Å)  |            |      |                                                   |                 |            |    |
--------------------------------------------------------------------------------------------------------------------------------------------------------
                     |      18690.3615692  |  5.611e 05 | AA   |    23.07364956332       -     23.737008536459     |  1s.3d - 1s.4f  |  3D  - 1F* |    |
                     |      18690.3703458  |  4.294e 06 | AA   |    23.07364987482       -     23.737008536459     |  1s.3d - 1s.4f  |  3D  - 1F* |    |
      18690.44       |      18690.3886561  |  6.1502e 04| AAA  |    23.07364956332       -     23.737007575094     |  1s.3d - 1s.4f  |  3D  - 3F* |    |
      18690.44       |      18690.3974327  |  2.1521e 06| AAA  |    23.07364987482       -     23.737007575094     |  1s.3d - 1s.4f  |  3D  - 3F* |    |
      18690.44       |      18690.4187627  |  1.3838e 07| AAA  |    23.07364956332       -     23.737006506554     |  1s.3d - 1s.4f  |  3D  - 3F* |    |
                     |                     |            |      |                                                   |                 |            |    |
      18690.44       |      18690.4437043  |  9.7644e 05| AAA  |    23.07364956332       -     23.737005621335     |  1s.3d - 1s.4f  |  3D  - 3F* |    |
      18690.44       |      18690.4524809  |  8.0071e 06| AAA  |    23.07364987482       -     23.737005621335     |  1s.3d - 1s.4f  |  3D  - 3F* |    |
                     |      18690.5518426  |  1.1624e 07| AAA  |    23.07365535507       -     23.737007575094     |  1s.3d - 1s.4f  |  3D  - 3F* |    |
      18702.34       |      18702.3180769  |  8.9780e 06| AAA  |    23.07407365281       -     23.737008536459     |  1s.3d - 1s.4f  |  1D  - 1F* |    |
                     |      18702.3451984  |  5.235e 02 | AA   |    23.07407365281       -     23.737007575094     |  1s.3d - 1s.4f  |  1D  - 3F* |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |      18702.4003170  |  4.852e 06 | AA   |    23.07407365281       -     23.737005621335     |  1s.3d - 1s.4f  |  1D  - 3F* |    |
                     |      19068.24602    |  1.9474e 05| AAA  |    23.7078900442        -     24.35810291895      |  1s.4p - 1s.8s  |  3P* - 3S  |    |
                     |      19068.27872    |  1.1684e 05| AAA  |    23.7078911595        -     24.35810291895      |  1s.4p - 1s.8s  |  3P* - 3S  |    |
                     |      19068.67988    |  3.8948e 04| AAA  |    23.7079048383        -     24.35810291895      |  1s.4p - 1s.8s  |  3P* - 3S  |    |
      19094.59       |      19094.570599   |  7.1159e 06| AAA  |    23.0870173854        -     23.73633384917      |  1s.3p - 1s.4d  |  1P* - 1D  |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |      19101.769145   |  8.944e 02 | AA   |    23.0870173854        -     23.73608915275      |  1s.3p - 1s.4d  |  1P* - 3D  |    |
                     |      19398.850927   |  2.9506e 04| AAA  |    23.73633384917       -     24.37546547115      |  1s.4d - 1s.8p  |  1D  - 1P* |    |
                     |      19411.4406086  |  1.216e 04 | AA   |    23.73608900379       -     24.3748061040817    |  1s.4d - 1s.8f  |  3D  - 1F* |    |
                     |      19411.4451359  |  9.307e 04 | AA   |    23.73608915275       -     24.3748061040817    |  1s.4d - 1s.8f  |  3D  - 1F* |    |
                     |      19411.4468278  |  2.0626e 03| AAA  |    23.73608900379       -     24.3748058994448    |  1s.4d - 1s.8f  |  3D  - 3F* |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |      19411.4508825  |  4.6409e 05| AAA  |    23.73608900379       -     24.3748057660277    |  1s.4d - 1s.8f  |  3D  - 3F* |    |
                     |      19411.4513550  |  7.2183e 04| AAA  |    23.73608915275       -     24.3748058994448    |  1s.4d - 1s.8f  |  3D  - 3F* |    |
                     |      19411.4531655  |  3.9407e 04| AAA  |    23.73608900379       -     24.3748056909070    |  1s.4d - 1s.8f  |  3D  - 3F* |    |
                     |      19411.4576928  |  3.1946e 05| AAA  |    23.73608915275       -     24.3748056909070    |  1s.4d - 1s.8f  |  3D  - 3F* |    |
                     |      19411.5211413  |  3.8984e 05| AAA  |    23.73609144900       -     24.3748058994448    |  1s.4d - 1s.8f  |  3D  - 3F* |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |      19418.8846307  |  3.5829e 05| AAA  |    23.73633384917       -     24.3748061040817    |  1s.4d - 1s.8f  |  1D  - 1F* |    |
                     |      19418.8971973  |  1.051e 05 | AA   |    23.73633384917       -     24.3748056909070    |  1s.4d - 1s.8f  |  1D  - 3F* |    |
                     |      19438.8493590  |  3.575e 03 | AA   |    23.737005621335      -     24.3748221314095    |  1s.4f - 1s.8g  |  3F* - 1G  |    |
                     |      19438.8509289  |  1.8624e 04| AAA  |    23.737005621335      -     24.3748220799000    |  1s.4f - 1s.8g  |  3F* - 3G  |    |
                     |      19438.8558026  |  3.4688e 05| AAA  |    23.737005621335      -     24.3748219199859    |  1s.4f - 1s.8g  |  3F* - 3G  |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |      19438.8763380  |  1.095e 04 | AA   |    23.737006506554      -     24.3748221314095    |  1s.4f - 1s.8g  |  3F* - 1G  |    |
                     |      19438.8779078  |  4.6549e 02| AAA  |    23.737006506554      -     24.3748220799000    |  1s.4f - 1s.8g  |  3F* - 3G  |    |
                     |      19438.8802312  |  3.6494e 05| AAA  |    23.737006506554      -     24.3748220036703    |  1s.4f - 1s.8g  |  3F* - 3G  |    |
                     |      19438.8827817  |  1.1860e 04| AAA  |    23.737006506554      -     24.3748219199859    |  1s.4f - 1s.8g  |  3F* - 3G  |    |
                     |      19438.9104741  |  3.3515e 05| AAA  |    23.737007575094      -     24.3748220799000    |  1s.4f - 1s.8g  |  3F* - 3G  |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |      19438.9382041  |  3.5042e 05| AAA  |    23.737008536459      -     24.3748221314095    |  1s.4f - 1s.8g  |  1F* - 1G  |    |
                     |      19438.9397741  |  1.070e 04 | AA   |    23.737008536459      -     24.3748220799000    |  1s.4f - 1s.8g  |  1F* - 3G  |    |
                     |      19438.9446478  |  6.200e 03 | AA   |    23.737008536459      -     24.3748219199859    |  1s.4f - 1s.8g  |  1F* - 3G  |    |
                     |      19442.0138054  |  2.445e 03 | AA   |    23.737005621335      -     24.374718318287     |  1s.4f - 1s.8d  |  3F* - 1D  |    |
                     |      19442.1026795  |  4.4094e 03| AAA  |    23.737008536459      -     24.374718318287     |  1s.4f - 1s.8d  |  1F* - 1D  |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |      19443.1920296  |  3.9611e 03| AAA  |    23.737005621335      -     24.374679673987     |  1s.4f - 1s.8d  |  3F* - 3D  |    |
                     |      19443.1926443  |  3.4865e 02| AAA  |    23.737005621335      -     24.374679653829     |  1s.4f - 1s.8d  |  3F* - 3D  |    |
                     |      19443.2196353  |  6.3528e 03| AAA  |    23.737006506554      -     24.374679653829     |  1s.4f - 1s.8d  |  3F* - 3D  |    |
                     |      19443.2428950  |  6.9175e 03| AAA  |    23.737007575094      -     24.374679959533     |  1s.4f - 1s.8d  |  3F* - 3D  |    |
                     |      19443.2516015  |  7.6855e 02| AAA  |    23.737007575094      -     24.374679673987     |  1s.4f - 1s.8d  |  3F* - 3D  |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |      19443.2809145  |  2.188e 03 | AA   |    23.737008536459      -     24.374679673987     |  1s.4f - 1s.8d  |  1F* - 3D  |    |
                     |      19443.2815292  |  2.004e 02 | AA   |    23.737008536459      -     24.374679653829     |  1s.4f - 1s.8d  |  1F* - 3D  |    |
                     |      19459.56426    |  1.5207e 05| AAA  |    23.6735694086        -     24.31070695665      |  1s.4s - 1s.7p  |  1S  - 1P* |    |
                     |      19522.743530   |  4.8183e 04| AAA  |    23.73608900379       -     24.37116465485      |  1s.4d - 1s.8p  |  3D  - 3P* |    |
                     |      19522.744012   |  4.3015e 04| AAA  |    23.73608915275       -     24.37116478815      |  1s.4d - 1s.8p  |  3D  - 3P* |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |      19522.748109   |  8.6030e 03| AAA  |    23.73608915275       -     24.37116465485      |  1s.4d - 1s.8p  |  3D  - 3P* |    |
                     |      19522.764261   |  5.7360e 04| AAA  |    23.73609144900       -     24.37116642567      |  1s.4d - 1s.8p  |  3D  - 3P* |    |
                     |      19522.814601   |  1.4340e 04| AAA  |    23.73609144900       -     24.37116478815      |  1s.4d - 1s.8p  |  3D  - 3P* |    |
                     |      19522.818698   |  5.7360e 02| AAA  |    23.73609144900       -     24.37116465485      |  1s.4d - 1s.8p  |  3D  - 3P* |    |
                     |      19548.17368    |  6.4534e 05| AAA  |    23.07365535507       -     23.7079048383       |  1s.3d - 1s.4p  |  3D  - 3P* |    |
                     |                     |            |      |                                                   |                 |            |    |
      19548.42       |      19548.42637    |  4.8389e 05| AAA  |    23.07364987482       -     23.7078911595       |  1s.3d - 1s.4p  |  3D  - 3P* |    |
                     |      19548.45115    |  5.4209e 05| AAA  |    23.07364956332       -     23.7078900442       |  1s.3d - 1s.4p  |  3D  - 3P* |    |
                     |      19548.46075    |  9.6778e 04| AAA  |    23.07364987482       -     23.7078900442       |  1s.3d - 1s.4p  |  3D  - 3P* |    |
                     |      19548.59529    |  1.6134e 05| AAA  |    23.07365535507       -     23.7078911595       |  1s.3d - 1s.4p  |  3D  - 3P* |    |
                     |      19548.62967    |  6.4534e 03| AAA  |    23.07365535507       -     23.7078900442       |  1s.3d - 1s.4p  |  3D  - 3P* |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |      19561.49669    |  1.150e 02 | AA   |    23.07407365281       -     23.7078911595       |  1s.3d - 1s.4p  |  1D  - 3P* |    |
                     |      19561.53111    |  2.354e 01 | AA   |    23.07407365281       -     23.7078900442       |  1s.3d - 1s.4p  |  1D  - 3P* |    |
                     |      19597.61341    |  3.5063e 05| AAA  |    23.7420688828        -     24.374718318287     |  1s.4p - 1s.8d  |  1P* - 1D  |    |
                     |      19833.98069    |  2.8512e 05| AAA  |    23.7420688828        -     24.36717885210      |  1s.4p - 1s.8s  |  1P* - 1S  |    |
